fundHouse,schemeCode,fundName
BNP Paribas Mutual Fund,130473,BNP PARIBAS OVERNIGHT FUND - DAILY DIVIDEND OPTION
BNP Paribas Mutual Fund,130486,BNP PARIBAS OVERNIGHT FUND - DIRECT PLAN -- DAILY DIVIDEND OPTION
BNP Paribas Mutual Fund,130472,BNP PARIBAS OVERNIGHT FUND - GROWTH OPTION
BNP Paribas Mutual Fund,130476,BNP PARIBAS OVERNIGHT FUND - MONTHLY DIVIDEND OPTION
BNP Paribas Mutual Fund,130471,BNP PARIBAS OVERNIGHT FUND - REGULAR PLAN - MONTHLY DIVIDEND OPTION
BNP Paribas Mutual Fund,130465,BNP PARIBAS OVERNIGHT FUND - REGULAR PLAN - WEEKLY DIVIDEND OPTION
BNP Paribas Mutual Fund,130474,BNP PARIBAS OVERNIGHT FUND - WEEKLY DIVIDEND OPTION
BNP Paribas Mutual Fund,130479,BNP PARIBAS OVERNIGHT FUND -- DIRECT PLAN - GROWTH OPTION
BNP Paribas Mutual Fund,130487,BNP PARIBAS OVERNIGHT FUND -- DIRECT PLAN - WEEKLY DIVIDEND OPTION
BNP Paribas Mutual Fund,139562,BNP PARIBAS OVERNIGHT FUND SPECIAL UNCLAIMED DIV 36A -- GROWTH OPTION
BNP Paribas Mutual Fund,139561,BNP PARIBAS OVERNIGHT FUND SPECIAL UNCLAIMED DIV 36B -- GROWTH OPTION
BNP Paribas Mutual Fund,139560,BNP PARIBAS OVERNIGHT FUND SPECIAL UNCLAIMED RED 36A-- GROWTH OPTION
BNP Paribas Mutual Fund,139563,BNP PARIBAS OVERNIGHT FUND SPECIAL UNCLAIMED RED 36B -- GROWTH OPTION
BNP Paribas Mutual Fund,130489,BNP PARIBAS OVERNIGNT FUND - DIRECT PLAN - MONTHLY DIVIDEND OPTION
BNP Paribas Mutual Fund,130459,BNP PARIBAS OVERNIGNT FUND - REGULAR PLAN - GROWTH OPTION
BOI AXA Mutual Fund,119368,BOI AXA Liquid Fund- Direct Plan- Daily Dividend
BOI AXA Mutual Fund,119369,BOI AXA Liquid Fund- Direct Plan- Growth
BOI AXA Mutual Fund,119370,BOI AXA Liquid Fund- Direct Plan- Weekly Dividend
BOI AXA Mutual Fund,111971,BOI AXA Liquid Fund- Regular Plan- Daily Dividend
BOI AXA Mutual Fund,109254,BOI AXA Liquid Fund- Regular Plan- Growth
BOI AXA Mutual Fund,109255,BOI AXA Liquid Fund- Regular Plan- Weekly Dividend
Canara Robeco Mutual Fund,139235,Canara Robeco Liquid -Unclaimed Redemption and Dividend Plan -Direct Growth Option
Canara Robeco Mutual Fund,118305,Canara Robeco Liquid- Direct Plan-Growth
Canara Robeco Mutual Fund,118308,Canara Robeco Liquid- Direct Plan-Weekly dividend
Canara Robeco Mutual Fund,101363,Canara Robeco Liquid- INSTITUTIONAL-Daily Dividend Reinvestment
Canara Robeco Mutual Fund,101362,Canara Robeco Liquid- INSTITUTIONAL-Growth
Canara Robeco Mutual Fund,118307,Canara Robeco Liquid-Direct Plan-Daily Dividend Reinvestment
Canara Robeco Mutual Fund,118304,Canara Robeco Liquid-Direct Plan-Dividend Payout
Canara Robeco Mutual Fund,118306,Canara Robeco Liquid-Direct Plan-Monthly Dividend
Canara Robeco Mutual Fund,109349,Canara Robeco Liquid-Regular Plan-Daily Div Reinvest.
Canara Robeco Mutual Fund,109353,Canara Robeco Liquid-Regular Plan-Growth
Canara Robeco Mutual Fund,109351,Canara Robeco Liquid-Regular Plan-Monthly Div Reinvest.
Canara Robeco Mutual Fund,109350,Canara Robeco Liquid-Regular Plan-Weekly Div Reinvest.
Canara Robeco Mutual Fund,101364,Canara Robeco Liquid-Retail-DRI
Canara Robeco Mutual Fund,101365,Canara Robeco Liquid-Retail-Growth
Canara Robeco Mutual Fund,109347,Canara Robeco Liquid-Retail-Monthly Div Reinvest
Canara Robeco Mutual Fund,109356,Canara Robeco Liquid-Retail-Weekly Div Reinvest
DHFL Pramerica Mutual Fund,138306,DHFL Pramerica INSTA CASH PLUS FUND - Annual Bonus Option
DHFL Pramerica Mutual Fund,138292,DHFL Pramerica Insta Cash Plus Fund - Annual Dividend Option
DHFL Pramerica Mutual Fund,138286,DHFL Pramerica INSTA CASH PLUS FUND - BONUS OPTION
DHFL Pramerica Mutual Fund,138305,DHFL Pramerica Insta Cash Plus Fund - Direct Plan -  Annual Bonus Option
DHFL Pramerica Mutual Fund,138302,DHFL Pramerica Insta Cash Plus Fund - Direct Plan -  Regular Bonus
DHFL Pramerica Mutual Fund,138297,DHFL Pramerica Insta Cash Plus Fund - Direct Plan - Daily Dividend
DHFL Pramerica Mutual Fund,138299,DHFL Pramerica Insta Cash Plus Fund - Direct Plan - Growth
DHFL Pramerica Mutual Fund,138298,DHFL Pramerica Insta Cash Plus Fund - Direct Plan - Monthly Dividend
DHFL Pramerica Mutual Fund,138300,DHFL Pramerica Insta Cash Plus Fund - Direct Plan - Quarterly Dividend
DHFL Pramerica Mutual Fund,138301,DHFL Pramerica Insta Cash Plus Fund - Direct Plan - Weekly Dividend
DHFL Pramerica Mutual Fund,138303,DHFL Pramerica Insta Cash Plus Fund - Direct Plan -Monthly Bonus
DHFL Pramerica Mutual Fund,138287,DHFL Pramerica Insta Cash Plus Fund - Monthly Dividend
DHFL Pramerica Mutual Fund,138284,DHFL Pramerica INSTA CASH PLUS FUND - Regular Plan BONUS OPTION
DHFL Pramerica Mutual Fund,139603,DHFL Pramerica Insta Cash Plus Fund - Unclaimed Dividend Plan - Below 3 years
DHFL Pramerica Mutual Fund,139604,DHFL Pramerica Insta Cash Plus Fund - Unclaimed Redemption Plan - Above 3 years
DHFL Pramerica Mutual Fund,139605,DHFL Pramerica Insta Cash Plus Fund - Unclamied Dividend Plan - Above 3 years
DHFL Pramerica Mutual Fund,139602,DHFL Pramerica Insta Cash Plus Fund - Unlcaimed Redemption Plan - Below 3 years
DHFL Pramerica Mutual Fund,138289,DHFL Pramerica Insta Cash Plus Fund - Weekly Dividend
DHFL Pramerica Mutual Fund,138288,DHFL Pramerica Insta Cash Plus Fund -Growth
DHFL Pramerica Mutual Fund,138285,DHFL Pramerica Insta Cash Plus Fund-Daily Dividend
DHFL Pramerica Mutual Fund,138280,DHFL Pramerica Insta Cash Plus Fund-DIVIDEND-Daily Dividend
DHFL Pramerica Mutual Fund,138279,DHFL Pramerica Insta Cash Plus Fund-DIVIDEND-MONTHLY DIVIDEND
DHFL Pramerica Mutual Fund,138278,DHFL Pramerica Insta Cash Plus Fund-DIVIDEND-WEEKLY DIVIDEND
DHFL Pramerica Mutual Fund,138281,DHFL Pramerica Insta Cash Plus Fund-Growth-GROWTH
DHFL Pramerica Mutual Fund,138283,DHFL Pramerica Insta Cash Plus Fund-Institutional Plan-Daily Dividend
DHFL Pramerica Mutual Fund,138282,DHFL Pramerica Insta Cash Plus Fund-Institutional Plan-Growth
DHFL Pramerica Mutual Fund,138304,DHFL Pramerica INSTA CASH PLUS FUND-Monthly Bonus Option
DHFL Pramerica Mutual Fund,138294,DHFL Pramerica Insta CashPlus Fund - Quarterly Dividend Option
DSP BlackRock Mutual Fund,119124,DSP BlackRock Liquidity Fund - Direct Plan - Daily Dividend
DSP BlackRock Mutual Fund,119125,DSP BlackRock Liquidity Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,119123,DSP BlackRock Liquidity Fund - Direct Plan - Weekly Dividend
DSP BlackRock Mutual Fund,103349,DSP BlackRock Liquidity Fund- Institutional Plan-Daily Dividend
DSP BlackRock Mutual Fund,103347,DSP BlackRock Liquidity Fund- Institutional Plan-Growth
DSP BlackRock Mutual Fund,103348,DSP BlackRock Liquidity Fund- Institutional Plan-Weekly Dividend
DSP BlackRock Mutual Fund,100943,DSP BlackRock Liquidity Fund - Regular Plan - Daily Dividend
DSP BlackRock Mutual Fund,100940,DSP BlackRock Liquidity Fund - Regular Plan - Growth
DSP BlackRock Mutual Fund,100941,DSP BlackRock Liquidity Fund - Regular Plan Weekly Dividend
Edelweiss Mutual Fund,140197,Edelweiss  Liquid Fund - Direct Plan - Monthly Dividend Option
Edelweiss Mutual Fund,140194,Edelweiss Liquid Fund - Direct Plan - Bonus Option
Edelweiss Mutual Fund,140193,Edelweiss Liquid Fund - Direct Plan - Daily Dividend Option
Edelweiss Mutual Fund,140196,Edelweiss Liquid Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140177,Edelweiss Liquid Fund - Retail Plan - Daily Dividend Option
Edelweiss Mutual Fund,140176,Edelweiss Liquid Fund - Retail Plan - Growth Option
Edelweiss Mutual Fund,140180,Edelweiss Liquid Fund - Retail Plan - Monthly Dividend Option
Edelweiss Mutual Fund,140178,Edelweiss Liquid Fund - Retail Plan - Weekly Dividend Option
Edelweiss Mutual Fund,140188,Edelweiss Liquid Fund - Super Institutional Plan - Annual Dividend Option
Edelweiss Mutual Fund,140189,Edelweiss Liquid Fund - Super Institutional Plan - Bonus Option
Edelweiss Mutual Fund,140181,Edelweiss Liquid Fund - Super Institutional Plan - Daily Dividend Option
Edelweiss Mutual Fund,140182,Edelweiss Liquid Fund - Super Institutional Plan - Growth Option
Edelweiss Mutual Fund,140183,Edelweiss Liquid Fund - Super Institutional Plan - Monthly Dividend Option
Edelweiss Mutual Fund,140185,Edelweiss Liquid Fund - Super Institutional Plan - Weekly Dividend Option
Edelweiss Mutual Fund,141159,Edelweiss Liquid Fund - Unclaimed Dividend Plan- Above 3 years
Edelweiss Mutual Fund,141161,Edelweiss Liquid Fund - Unclaimed Dividend Plan- Upto 3 years
Edelweiss Mutual Fund,141162,Edelweiss Liquid Fund - Unclaimed Redemption Plan- Above 3 years
Edelweiss Mutual Fund,141160,Edelweiss Liquid Fund - Unclaimed Redemption Plan- Upto 3 years
Escorts Mutual Fund,103226,Escorts Liquid Plan-Daily Dividend Option
Escorts Mutual Fund,120836,Escorts Liquid Plan-Daily Dividend Option-Direct Plan
Escorts Mutual Fund,103225,Escorts Liquid Plan-Growth Option
Escorts Mutual Fund,120837,Escorts Liquid Plan-Growth Option-Direct Plan
Escorts Mutual Fund,103228,Escorts Liquid Plan-Monthly Dividend Option
Escorts Mutual Fund,120838,Escorts Liquid Plan-Monthly Dividend Option-Direct Plan
Escorts Mutual Fund,103227,Escorts Liquid Plan-Weekly Dividend Option
Escorts Mutual Fund,120839,Escorts Liquid Plan-Weekly Dividend Option-Direct Plan
Franklin Templeton Mutual Fund,118507,Franklin India Cash Management Account - Direct - Dividend
Franklin Templeton Mutual Fund,118508,Franklin India Cash Management Account - Direct - Growth
Franklin Templeton Mutual Fund,101044,Franklin India Cash Management Account-Dividend Plan
Franklin Templeton Mutual Fund,101048,Franklin India Cash Management Account-Growth Plan
Franklin Templeton Mutual Fund,102443,Franklin India Treasury Management - Institution-Daily
Franklin Templeton Mutual Fund,102441,Franklin India Treasury Management - Institution-Growth
Franklin Templeton Mutual Fund,102442,Franklin India Treasury Management - Institution-Weekly
Franklin Templeton Mutual Fund,118577,Franklin India TREASURY MANAGEMENT ACCOUNT - Super Instittutional - Direct - Growth
Franklin Templeton Mutual Fund,118578,Franklin India TREASURY MANAGEMENT ACCOUNT - Super Institutional - Direct - Daily Dividend
Franklin Templeton Mutual Fund,118579,Franklin India TREASURY MANAGEMENT ACCOUNT - Super Institutional - Direct - Weekly Dividend
Franklin Templeton Mutual Fund,139890,Franklin India TREASURY MANAGEMENT ACCOUNT - Unclaimed Dividend Plan - Growth
Franklin Templeton Mutual Fund,139889,Franklin India TREASURY MANAGEMENT ACCOUNT - Unclaimed Redemption Plan - Growth
Franklin Templeton Mutual Fund,100541,Franklin India Treasury Management Account-Regular Plan - Daily Dividend
Franklin Templeton Mutual Fund,100538,Franklin India Treasury Management Account-Regular Plan - Growth
Franklin Templeton Mutual Fund,100537,Franklin India Treasury Management Account-Regular Plan - Weekly Dividend
Franklin Templeton Mutual Fund,100547,Franklin India Treasury Management Account-Super Institutional Plan - Daily Dividend
Franklin Templeton Mutual Fund,100546,Franklin India Treasury Management Account-Super Institutional Plan - Growth
Franklin Templeton Mutual Fund,100548,Franklin India Treasury Management Account-Super Institutional Plan - Weekly Dividend
HDFC Mutual Fund,101997,HDFC Cash Management Fund - Call Plan-Daily Dividend Plan
HDFC Mutual Fund,101996,HDFC Cash Management Fund - Call Plan-Growth Option
HDFC Mutual Fund,119109,HDFC CM Call Plan -Direct Plan - Daily Dividend Option
HDFC Mutual Fund,119110,HDFC CM Call Plan -Direct Plan - Growth Option
HDFC Mutual Fund,101994,HDFC Cash Management Fund - Savings Plan-Daily Dividend Option
HDFC Mutual Fund,101993,HDFC Cash Management Fund - Savings Plan-Growth Option
HDFC Mutual Fund,101995,HDFC Cash Management Fund - Savings Plan-Weekly Dividend Option
HDFC Mutual Fund,119093,HDFC CM Savings -Direct Plan - Daily Dividend Option
HDFC Mutual Fund,119092,HDFC CM Savings -Direct Plan - Growth Option
HDFC Mutual Fund,119094,HDFC CM Savings -Direct Plan - Weekly Dividend Option
HDFC Mutual Fund,119089,HDFC Liquid Fund -Direct Plan - Daily Dividend Option
HDFC Mutual Fund,119091,HDFC Liquid Fund -Direct Plan - Growth Option
HDFC Mutual Fund,119090,HDFC Liquid Fund -Direct Plan - Monthly Dividend Option
HDFC Mutual Fund,119088,HDFC Liquid Fund -Direct Plan - Weekly Dividend Option
HDFC Mutual Fund,100875,HDFC Liquid Fund-Dividend - Daily
HDFC Mutual Fund,100876,HDFC Liquid Fund-Dividend - Monthly
HDFC Mutual Fund,100874,HDFC Liquid Fund-Dividend - Weekly
HDFC Mutual Fund,100868,HDFC Liquid Fund-GROWTH
HDFC Mutual Fund,100877,HDFC Liquid Fund-Premium Plan - Dividend-Daily
HDFC Mutual Fund,100878,HDFC Liquid Fund-Premium Plan - Dividend-Weekly
HDFC Mutual Fund,100881,HDFC Liquid Fund-Premium Plus Plan - Dividend-Weekly
HDFC Mutual Fund,100872,HDFC Liquid Fund-PREMIUM PLUS- Growth
HDFC Mutual Fund,100873,HDFC Liquid Fund-PREMIUM- Growth
HSBC Mutual Fund,118902,HSBC Cash Fund -  Growth
HSBC Mutual Fund,120038,HSBC Cash Fund -  Growth Direct
HSBC Mutual Fund,118901,HSBC Cash Fund - Daily Dividend
HSBC Mutual Fund,120037,HSBC Cash Fund - Daily Dividend Direct
HSBC Mutual Fund,101702,HSBC Cash Fund - Dividend - Monthly
HSBC Mutual Fund,101699,HSBC Cash Fund - Growth
HSBC Mutual Fund,101694,HSBC Cash Fund - Inst. - Dividend - Monthly
HSBC Mutual Fund,101691,HSBC Cash Fund - Inst. - Growth
HSBC Mutual Fund,118910,HSBC Cash Fund - Institutional Plan - Growth
HSBC Mutual Fund,118903,HSBC Cash Fund - Monthly Dividend
HSBC Mutual Fund,120039,HSBC Cash Fund - Monthly Dividend Direct
HSBC Mutual Fund,101696,HSBC Cash Fund - Regular - Growth
HSBC Mutual Fund,118908,HSBC Cash Fund - Regular - Weekly Dividend
HSBC Mutual Fund,118906,HSBC Cash Fund - Regular- Dividend
HSBC Mutual Fund,139238,HSBC Cash Fund - Unclaimed Dividend Above 3 years
HSBC Mutual Fund,139237,HSBC Cash Fund - Unclaimed Dividend Below 3 years
HSBC Mutual Fund,139239,HSBC Cash Fund - Unclaimed Redemption Above 3 years
HSBC Mutual Fund,139240,HSBC Cash Fund - Unclaimed Redemption Below 3 years
HSBC Mutual Fund,118904,HSBC Cash Fund - Weekly Dividend
HSBC Mutual Fund,120040,HSBC Cash Fund - Weekly Dividend Direct
HSBC Mutual Fund,118909,HSBC Cash Fund-Institutional Plan - Daily Dividend
HSBC Mutual Fund,118907,HSBC Cash Fund-Regular-Growth
ICICI Prudential Mutual Fund,100357,ICICI Prudential Liquid -Quarterly Dividend
ICICI Prudential Mutual Fund,100359,ICICI Prudential Liquid Institutional Plus Plan - Div - Daily
ICICI Prudential Mutual Fund,120198,ICICI Prudential Liquid - Direct Plan -  Annual Dividend
ICICI Prudential Mutual Fund,120188,ICICI Prudential Liquid - Direct Plan -  Daily Dividend
ICICI Prudential Mutual Fund,120191,ICICI Prudential Liquid - Direct Plan -  Dividend Others
ICICI Prudential Mutual Fund,120197,ICICI Prudential Liquid - Direct Plan -  Growth
ICICI Prudential Mutual Fund,120187,ICICI Prudential Liquid - Direct Plan -  Half Yearly Dividend
ICICI Prudential Mutual Fund,120196,ICICI Prudential Liquid - Direct Plan -  Quarterly Dividend
ICICI Prudential Mutual Fund,120190,ICICI Prudential Liquid - Direct Plan -  Weekly Dividend
ICICI Prudential Mutual Fund,115505,ICICI Prudential Liquid - Dividend Others
ICICI Prudential Mutual Fund,104308,ICICI Prudential Liquid - Half Yearly Dividend
ICICI Prudential Mutual Fund,103342,ICICI Prudential Liquid - Weekly Dividend
ICICI Prudential Mutual Fund,112119,ICICI Prudential Liquid -Annual Dividend
ICICI Prudential Mutual Fund,103343,ICICI Prudential Liquid -Daily Dividend
ICICI Prudential Mutual Fund,103340,ICICI Prudential Liquid -Growth
ICICI Prudential Mutual Fund,130933,ICICI Prudential Liquid Plan - Bonus
ICICI Prudential Mutual Fund,120189,ICICI Prudential Liquid Plan - Direct Plan - Monthly Dividend
ICICI Prudential Mutual Fund,130934,ICICI Prudential Liquid Plan - Direct Plan Bonus
ICICI Prudential Mutual Fund,103344,ICICI Prudential Liquid Plan - Institutional Option - I
ICICI Prudential Mutual Fund,139434,ICICI Prudential Liquid Plan - Unclaimed Dividend
ICICI Prudential Mutual Fund,139433,ICICI Prudential Liquid Plan - Unclaimed Redemption
ICICI Prudential Mutual Fund,103341,ICICI Prudential Liquid Plan -Monthly Dividend
ICICI Prudential Mutual Fund,101751,ICICI Prudential Liquid Institutional Plan - Growth
ICICI Prudential Mutual Fund,101748,ICICI Prudential Liquid Plan - Institutional - Daily - Div
ICICI Prudential Mutual Fund,101753,ICICI Prudential Liquid Plan - Institutional - Weekly - Div
ICICI Prudential Mutual Fund,101754,ICICI Prudential Liquid Plan Retail Daily Dividend
ICICI Prudential Mutual Fund,101750,ICICI Prudential Liquid Plan Retail Growth
ICICI Prudential Mutual Fund,101755,ICICI Prudential Liquid Plan Retail Monthly Dividend
ICICI Prudential Mutual Fund,101752,ICICI Prudential Liquid Plan Retail Weekly Dividend
ICICI Prudential Mutual Fund,130946,ICICI Prudential Money Market Fund - Direct Plan Bonus
ICICI Prudential Mutual Fund,130945,ICICI Prudential Money Market Fund -Bonus
ICICI Prudential Mutual Fund,115328,ICICI Prudential Money Market Fund Dividend
ICICI Prudential Mutual Fund,120209,ICICI Prudential Money Market Fund Option - Direct Plan -  Daily Dividend
ICICI Prudential Mutual Fund,120216,ICICI Prudential Money Market Fund Option - Direct Plan -  Dividend Others
ICICI Prudential Mutual Fund,120210,ICICI Prudential Money Market Fund Option - Direct Plan -  Fortnightly Dividend
ICICI Prudential Mutual Fund,120211,ICICI Prudential Money Market Fund Option - Direct Plan -  Growth
ICICI Prudential Mutual Fund,120213,ICICI Prudential Money Market Fund Option - Direct Plan -  Monthly Dividend
ICICI Prudential Mutual Fund,120212,ICICI Prudential Money Market Fund Option - Direct Plan -  Weekly Dividend
ICICI Prudential Mutual Fund,101221,ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option)
ICICI Prudential Mutual Fund,103634,ICICI Prudential Money Market Fund Option - Daily Dividend
ICICI Prudential Mutual Fund,130013,ICICI Prudential Money Market Fund Option - Dividend Others
ICICI Prudential Mutual Fund,103633,ICICI Prudential Money Market Fund Option - Growth
ICICI Prudential Mutual Fund,103637,ICICI Prudential Money Market Fund Option - Monthly Dividend
ICICI Prudential Mutual Fund,103635,ICICI Prudential Money Market Fund Option - Weekly Dividend
ICICI Prudential Mutual Fund,103636,ICICI Prudential Money Market Fund Option -Fortnightly Dividend
IDBI Mutual Fund,126163,IDBI Liquid Fund Bonus Direct
IDBI Mutual Fund,126164,IDBI Liquid Fund Bonus Regular
IDBI Mutual Fund,118345,IDBI Liquid Fund Growth Direct
IDBI Mutual Fund,113104,IDBI Liquid Fund- Monthly Dividend
IDBI Mutual Fund,118449,IDBI Liquid Fund- Monthly Dividend Direct
IDBI Mutual Fund,113102,IDBI Liquid Fund-Daily Dividend
IDBI Mutual Fund,118450,IDBI Liquid Fund-Daily Dividend Direct
IDBI Mutual Fund,113096,IDBI Liquid Fund-Growth
IDBI Mutual Fund,113103,IDBI Liquid Fund-Weekly Dividend
IDBI Mutual Fund,118451,IDBI Liquid Fund-Weekly Dividend Direct
IDFC Mutual Fund,108694,IDFC Cash Fund - Inst Plan B - Periodic Div
IDFC Mutual Fund,118366,IDFC Cash Fund -Direct Plan -Daily Dividend
IDFC Mutual Fund,118364,IDFC Cash Fund -Direct Plan -Growth
IDFC Mutual Fund,118365,IDFC Cash Fund -Direct Plan -Monthly Dividend
IDFC Mutual Fund,118363,IDFC Cash Fund -Direct Plan -Periodic Dividend
IDFC Mutual Fund,118367,IDFC Cash Fund -Direct Plan -Weekly Dividend
IDFC Mutual Fund,108692,IDFC Cash Fund -Regular Plan-Daily Dividend
IDFC Mutual Fund,108690,IDFC Cash Fund -Regular Plan-Growth
IDFC Mutual Fund,108693,IDFC Cash Fund -Regular Plan-Monthly Dividend
IDFC Mutual Fund,115489,IDFC Cash Fund -Regular Plan-Periodic Dividend
IDFC Mutual Fund,108691,IDFC Cash Fund -Regular Plan-Weekly Dividend
IDFC Mutual Fund,139582,IDFC Cash Fund -Unclaimed Dividend Less than Three Years
IDFC Mutual Fund,139583,IDFC Cash Fund -Unclaimed Dividend More than Three Years
IDFC Mutual Fund,139584,IDFC Cash Fund -Unclaimed Redemption Less than Three Years
IDFC Mutual Fund,139585,IDFC Cash Fund -Unclaimed Redemption More than Three Years
IDFC Mutual Fund,108778,IDFC Cash Fund-Paln A-Growth
IDFC Mutual Fund,115486,IDFC Cash Fund-Paln A-Monthly
IDFC Mutual Fund,115487,IDFC Cash Fund-Paln A-Periodic Dividend
IDFC Mutual Fund,108779,IDFC Cash Fund-Plan A-Dividend (Daily)
IDFC Mutual Fund,108607,IDFC Cash Fund - Plan A-Dividend (Weekly)
IDFC Mutual Fund,108781,IDFC Cash Fund - Plan B (G) (Institutional Plan)
IDFC Mutual Fund,108629,IDFC CF - Plan B - Dividend-Weekly
IDFC Mutual Fund,108681,IDFC CF - Plan B-Daily-Dividend(Institutional Plan)
IIFL Mutual Fund,125349,IIFL LIQUID FUND DIRECT PLAN  DAILY DIVIDEND REINVESTMENT
IIFL Mutual Fund,125345,IIFL LIQUID FUND DIRECT PLAN  GROWTH
IIFL Mutual Fund,125343,IIFL LIQUID FUND DIRECT PLAN  WEEKLY DIVIDEND
IIFL Mutual Fund,125342,IIFL LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT
IIFL Mutual Fund,125259,IIFL LIQUID FUND REGULAR PLAN  GROWTH
IIFL Mutual Fund,125337,IIFL LIQUID FUND REGULAR PLAN  WEEKLY DIVIDEND
Indiabulls Mutual Fund,115992,Indiabulls Liquid Fund - Daily Dividend Option
Indiabulls Mutual Fund,119136,Indiabulls Liquid Fund - Direct Plan - Daily Dividend Option
Indiabulls Mutual Fund,119138,Indiabulls Liquid Fund - Direct Plan - Fortnightly Dividend Option
Indiabulls Mutual Fund,119135,Indiabulls Liquid Fund - Direct Plan - Growth Option
Indiabulls Mutual Fund,119139,Indiabulls Liquid Fund - Direct Plan - Monthly Dividend Option
Indiabulls Mutual Fund,119137,Indiabulls Liquid Fund - Direct Plan - Weekly Dividend Option
Indiabulls Mutual Fund,115994,Indiabulls Liquid Fund - Fortnightly Dividend Option
Indiabulls Mutual Fund,115991,Indiabulls Liquid Fund - Growth Option
Indiabulls Mutual Fund,115995,Indiabulls Liquid Fund - Monthly Dividend Option
Indiabulls Mutual Fund,115993,Indiabulls Liquid Fund - Weekly Dividend Option
Invesco Mutual Fund,122786,Invesco India Liquid Fund - Bonus Option
Invesco Mutual Fund,104484,Invesco India Liquid Fund - Daily Dividend
Invesco Mutual Fund,120537,Invesco India Liquid Fund - Direct Plan - Growth
Invesco Mutual Fund,120536,Invesco India Liquid Fund - Direct Plan - Monthly Dividend
Invesco Mutual Fund,120535,Invesco India Liquid Fund - Direct Plan - Weekly Dividend
Invesco Mutual Fund,120534,Invesco India Liquid Fund - Direct Plan-  Daily Dividend
Invesco Mutual Fund,104486,Invesco India Liquid Fund - Growth
Invesco Mutual Fund,104492,Invesco India Liquid Fund - Monthly Dividend
Invesco Mutual Fund,104488,Invesco India Liquid Fund - Regular - Growth
Invesco Mutual Fund,104489,Invesco India Liquid Fund - Regular - Weekly Dividend
Invesco Mutual Fund,139389,Invesco India Liquid Fund - Unclaimed Dividend Plan - Below 3 Years
Invesco Mutual Fund,139387,Invesco India Liquid Fund - Unclaimed Redemption Plan - Below 3 years
Invesco Mutual Fund,104485,Invesco India Liquid Fund - Weekly Dividend
JM Financial Mutual Fund,122314,JM Floater Short Term Fund (Direct) - Bonus Option - Principal Units
JM Financial Mutual Fund,120414,JM Floater Short Term Fund (Direct) - Daily Dividend Option
JM Financial Mutual Fund,120415,JM Floater Short Term Fund (Direct) - Growth Option
JM Financial Mutual Fund,133413,JM Floater Short Term Fund (Direct) - Monthly Dividend Option
JM Financial Mutual Fund,133391,JM Floater Short Term Fund - (Direct) - Half Yearly Bonus Option - Principal Units
JM Financial Mutual Fund,122322,JM Floater Short Term Fund - Bonus Option - Principal Units
JM Financial Mutual Fund,101420,JM Floater Short Term Fund - Daily Dividend Option
JM Financial Mutual Fund,101421,JM Floater Short Term Fund - Growth Option
JM Financial Mutual Fund,133393,JM Floater Short Term Fund - Half Yearly Bonus Option - Principal Units
JM Financial Mutual Fund,133392,JM Floater Short Term Fund - Monthly Dividend Option
JM Financial Mutual Fund,101549,JM HIGH LIQUIDITY - BONUS OPTION
JM Financial Mutual Fund,101078,JM HIGH LIQUIDITY DAILY DIVIDEND PLAN
JM Financial Mutual Fund,120407,JM High Liquidity Fund (Direct)  - Weekly Dividend Option
JM Financial Mutual Fund,120410,JM High Liquidity Fund (Direct) - Bonus Option - Bonus Option - Principal units
JM Financial Mutual Fund,120411,JM High Liquidity Fund (Direct) - Daily Dividend Option
JM Financial Mutual Fund,120406,JM High Liquidity Fund (Direct) - Growth Option
JM Financial Mutual Fund,120408,JM High Liquidity Fund (Direct) - Quarterly Dividend Option
JM Financial Mutual Fund,100233,JM High Liquidity Fund - Weekly Dividend Option
JM Financial Mutual Fund,139258,JM High Liquidity Fund Unclaimed Dividend (Direct) Growth Plan
JM Financial Mutual Fund,139260,JM High Liquidity Fund Unclaimed Dividend IEF (Direct) Growth Plan
JM Financial Mutual Fund,139257,JM High Liquidity Fund Unclaimed Redemption (Direct) Growth Plan
JM Financial Mutual Fund,139259,JM High Liquidity Fund Unclaimed Redemption IEF (Direct) Growth Plan
JM Financial Mutual Fund,100241,JM High Liquidity Fund-- Institutional Plan - Dividend
JM Financial Mutual Fund,100237,JM High Liquidity Fund-- Institutional Plan - Growth
JM Financial Mutual Fund,100244,JM High Liquidity Fund-- Quarterly Dividend
JM Financial Mutual Fund,100234,JM High Liquidity Fund-Growth
JM Financial Mutual Fund,100238,JM High Liquidity Fund-Institutional Plan - Daily Dividend
JM Financial Mutual Fund,100245,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend
JM Financial Mutual Fund,100247,JM High Liquidity Fund-Super Institutional Plan- Growth
JM Financial Mutual Fund,100246,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend
Kotak Mahindra Mutual Fund,106842,Kotak Floater Short Term - (Daily Dividend)
Kotak Mahindra Mutual Fund,119745,Kotak Floater Short Term - (Daily Dividend) - Direct
Kotak Mahindra Mutual Fund,101893,Kotak Floater Short Term-(Growth)
