Scheme_Code,Scheme_Name
102663,BARODA PIONEER MIP FUND - Plan A - Quarterly Dividend Option
119389,BARODA PIONEER MIP FUND - Plan B (Direct) - Growth Option
119391,BARODA PIONEER MIP FUND - Plan B (Direct) - Quarterly Dividend Option
119390,BARODA PIONEER MIP FUND - Plan B (Direct)- Monthly Dividend Option
119399,Baroda Pioneer Short Term Bond Fund  - Plan B (Direct) - Monthly Dividend Option
113037,Baroda Pioneer Short Term Bond Fund - Plan A -  Monthly Dividend Option
113036,Baroda Pioneer Short Term Bond Fund - Plan A - Growth Option
119400,Baroda Pioneer Short Term Bond Fund - Plan B (Direct) - Growth Option
125136,Baroda Pioneer Treasury Advantage Fund - Plan A - Bonus Option
125137,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Bonus Option
119309,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Daily Dividend Option
119410,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Growth Option
119411,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Monthly Dividend Option
119439,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Quarterly Dividend Option
119409,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Weekly Dividend Option
112032,Baroda Pioneer Treasury Advantage Fund- Plan A- Daily Dividend Option
112029,Baroda Pioneer Treasury Advantage Fund- Plan A- Growth Option
112035,Baroda Pioneer Treasury Advantage Fund- Plan A- Monthly Dividend Option
112034,Baroda Pioneer Treasury Advantage Fund- Plan A- Quarterly Dividend Option
112033,Baroda Pioneer Treasury Advantage Fund- Plan A- Weekly Dividend Option
112025,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Daily Dividend Option
112031,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Growth Option
112027,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Monthly Dividend Option
112028,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Quarterly Dividend Option
112026,Baroda Pioneer Treasury Advantage Fund- Regular Plan - Weekly Dividend Option
125128,Baroda Pioneer Liquid Fund - Plan A - Bonus Option
111707,BARODA PIONEER LIQUID FUND - Plan A - DAILY DIVIDEND OPTION
111704,BARODA PIONEER LIQUID FUND - Plan A - GROWTH OPTION
111705,BARODA PIONEER LIQUID FUND - PLAN A - WEEKLY DIVIDEND OPTION
125129,Baroda Pioneer Liquid Fund - Plan B (Direct) - Bonus Option
119414,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - DAILY DIVIDEND OPTION
119415,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - GROWTH OPTION
119416,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - WEEKLY DIVIDEND OPTION
116803,Baroda Pioneer Liquid Fund - Regular - Weekly Dividend Option
111706,BARODA PIONEER LIQUID FUND PLAN A - MONTHLY DIVIDEND OPTION
101408,BARODA PIONEER LIQUID FUND- Regular Growth Option
101409,BARODA PIONEER LIQUID FUND-Regular Daily Dividend Option
101407,BARODA PIONEER LIQUID FUND-Regular Dividend Option
133261,Baroda Pioneer Equity Trigger Fund-Series I-Plan A-Dividend Payout Option
133260,Baroda Pioneer Equity Trigger Fund-Series I-Plan A-Growth Option
133263,Baroda Pioneer Equity Trigger Fund-Series I-Plan B (Direct)-Dividend Payout
133262,Baroda Pioneer Equity Trigger Fund-Series I-Plan B (Direct)-Growth
123911,Baroda Pioneer Fixed Maturity Plan Series E -Plan B (Direct) -Dividend Payout
123910,Baroda Pioneer Fixed Maturity Plan Series E -Plan B (Direct)- Growth
123909,Baroda Pioneer Fixed Maturity Plan Series E- Plan A- Dividend Payout
123908,Baroda Pioneer Fixed Maturity Plan Series E- Plan A- Growth
126089,Baroda Pioneer Fixed Maturity Plan Series J - Plan A - Dividend Payout
126090,Baroda Pioneer Fixed Maturity Plan Series J - Plan A - Growth
126092,Baroda Pioneer Fixed Maturity Plan Series J - Plan B (Direct) - Dividend Payout
126091,Baroda Pioneer Fixed Maturity Plan Series J - Plan B (Direct) - Growth
134473,Baroda Pioneer Fixed Maturity Plan Series N - Plan A - Growth Option
134472,Baroda Pioneer Fixed Maturity Plan Series N Plan B (Direct) - Growth Option
127624,Baroda Pioneer Fixed Maturity Plan Series K -Plan B (Direct) -Dividend Payout
127627,Baroda Pioneer Fixed Maturity Plan Series K -Plan B (Direct)- Growth
127625,Baroda Pioneer Fixed Maturity Plan Series K- Plan A- Dividend Payout
127626,Baroda Pioneer Fixed Maturity Plan Series K- Plan A- Growth
121658,Baroda Pioneer Fixed Maturity Plan- Series A- Plan A- Dividend Payout Option
121657,Baroda Pioneer Fixed Maturity Plan- Series A- Plan A- Growth Option
121660,Baroda Pioneer Fixed Maturity Plan- Series A- Plan B (Direct)- Dividend Payout Option
121659,Baroda Pioneer Fixed Maturity Plan- Series A- Plan B (Direct)- Growth Option
122020,Baroda Pioneer Fixed Maturity Plan - Series B-  Plan A-Dividend Payout Option
122019,Baroda Pioneer Fixed Maturity Plan - Series B-Plan A-Growth Option
122021,Baroda Pioneer Fixed Maturity Plan - Series B-Plan B ( Direct)-Growth Option
127804,Baroda Pioneer Fixed Maturity Plan Series L -Plan B (Direct)- Growth
127805,Baroda Pioneer Fixed Maturity Plan Series L- Plan A- Dividend Payout
127803,Baroda Pioneer Fixed Maturity Plan Series L- Plan A- Growth
